date,title,source,link
"Fri, 12 May 2023 18:12:29 GMT",Jury finds Lori Vallow Daybell guilty of murdering 2 of her children,NPR,
"Fri, 12 May 2023 17:36:15 GMT",Ex-Marine charged with New York subway chokehold death of Jordan Neely,BBC,
"Fri, 12 May 2023 18:27:00 GMT",Anderson Cooper scolds viewers after Trump town hall,The Washington Post,
"Fri, 12 May 2023 08:30:00 GMT",Biden's troop deployment to the border is different from Trump's,POLITICO,
"Fri, 12 May 2023 16:07:30 GMT",Congressional Budget Office warns of US debt default 'in first two weeks of June',ABC News,
"Fri, 12 May 2023 18:53:33 GMT","With Title 42's End, Scenes of Anxiety, Weariness and Relief at the Border",The New York Times,
"Fri, 12 May 2023 14:42:11 GMT",Elon Musk names Linda Yaccarino as Twitter CEO,Fox Business,
"Fri, 12 May 2023 12:26:50 GMT",Herd of cows assist police in locating suspect who hoofed it to remote area,ABC News,
"Fri, 12 May 2023 18:27:23 GMT","Covid Cautions Continue for Some, Even as Federal Emergency Ends",The New York Times,
"Fri, 12 May 2023 15:46:24 GMT","Florida federal judge's border decision 'very harmful,' Mayorkas says",POLITICO,
"Fri, 12 May 2023 18:34:32 GMT",Gaza: Sixth militant commander killed in Israeli air strike as,BBC,
"Fri, 12 May 2023 15:46:19 GMT",Pakistan ex-PM Imran Khan leaves court after being granted bail,Al Jazeera English,
"Fri, 12 May 2023 18:33:45 GMT",Russia Acknowledges Retreat North Of Bakhmut After Major Advance Of Ukrainian Troops,Radio Free Europe / Radio Liberty,
"Fri, 12 May 2023 11:23:00 GMT",Eurovision rejects Zelensky’s request to address contest final,CNN,
"Fri, 12 May 2023 15:20:06 GMT",Former Fed president says he wouldn’t raise rates ‘if I were sitting in my old seat’,Fox Business,
"Fri, 12 May 2023 18:00:00 GMT","Fed: Biden elevates Philip Jefferson as Fed vice chair, taps Adriana Kugler as first Latina governor",The Washington Post,
"Fri, 12 May 2023 10:30:00 GMT",UK economy limps along as high inflation hits spending,CNN,
"Fri, 12 May 2023 14:02:29 GMT","As shoppers look for savings, Nordstrom hopes Rack stores can fuel its revival",CNBC,
"Fri, 12 May 2023 15:59:30 GMT",Zelda fans are taking the day off to explore 'Tears of the Kingdom',NPR,
"Fri, 12 May 2023 09:00:00 GMT",Google Pixel 7a vs Samsung Galaxy A54 5G: Battle of the best budget phones,XDA Developers,
"Fri, 12 May 2023 10:30:00 GMT",Does the Google Pixel Tablet come with a stand?,Android Police,
"Fri, 12 May 2023 12:44:09 GMT",Apple Silicon Macs now natively support Unreal Engine 5,Engadget,
"Fri, 12 May 2023 19:03:00 GMT",Jamie Foxx’s Daughter Says He’s ‘Been Out of the Hospital For Weeks’ and ‘Was Playing Pickleball Yesterday’,Variety,
"Fri, 12 May 2023 14:38:15 GMT","Country Singer Jimmie Allen Suspended by Label, Removed From CMA Fest Following Sexual Abuse Allegations",Hollywood Reporter,
"Fri, 12 May 2023 11:00:40 GMT",3 Zodiac Signs Need Space in Love On May 13 During The Moon In Pisces,YourTango,
"Fri, 12 May 2023 13:00:00 GMT","‘The Kelly Clarkson Show’ Is Toxic Behind the Scenes, Staffers Say",Rolling Stone,
"Fri, 12 May 2023 14:43:00 GMT","2023 NFL strength of schedule for every team: Cowboys, Eagles among hardest; Steelers, Packers have it easier",CBS Sports,
"Fri, 12 May 2023 14:14:36 GMT","Lakers-Warriors Game 6 expectations, 76ers' COLLAPSE, Jayson Tatum's BIG 4th QTR, Suns DONE | Get Up",ESPN,
"Fri, 12 May 2023 15:07:00 GMT",JaMychal Green mocks LeBron James on Instagram as Warriors-Lakers flopping feud escalates,New York Post ,
"Fri, 12 May 2023 06:51:00 GMT","NBA playoffs: Nikola Jokić's absolute dominance sends Nuggets to conference finals, Suns to offseason of uncertainty",Yahoo Sports,
"Fri, 12 May 2023 11:23:00 GMT",Astronomers spot largest cosmic explosion ever witnessed,CNN,
"Fri, 12 May 2023 19:33:27 GMT",Saturn Adds 62 More Moons to Its Count,The New York Times,
"Thu, 11 May 2023 11:00:02 GMT",The human genome scientists use to scout for disease just got a major makeover,CNBC,
"Fri, 12 May 2023 13:29:18 GMT","Warm object that crashed into New Jersey bedroom was a 4.5 billion-year-old meteorite ""in excellent condition,"" experts confirm",CBS News,
"Fri, 12 May 2023 14:35:00 GMT","Sleep Apnea Linked to Brain Damage, Study Finds",Gizmodo,
"Fri, 12 May 2023 13:08:00 GMT",First successful fetal brain surgery in Boston saves baby's life,The Washington Post,
"Thu, 11 May 2023 20:04:00 GMT",Peanut patch for allergies creates optimism: Could 'fill a huge unmet need',MarketWatch,
"Wed, 10 May 2023 21:49:51 GMT","Addiction Treatment Medicine Is Vastly Underprescribed, Especially by Race, Study Finds",The New York Times,
"Sat, 13 May 2023 15:03:00 GMT","DeSantis fundraises for Daniel Penny, who faces manslaughter charges in Jordan Neely death",Fox News,
"Sat, 13 May 2023 18:06:14 GMT","Undocumented migrant crossings dropped on Friday, the first day after Title 42 was lifted",NBC News,
"Sat, 13 May 2023 11:33:29 GMT",From democrat to autocrat. The story of Turkey's Recep Tayyip Erdogan,NPR,
"Sat, 13 May 2023 12:50:00 GMT","Texas woman shot and killed by her boyfriend over an abortion, police say",CNN,
"Sat, 13 May 2023 16:57:44 GMT",Ukraine war: Pope tells Zelensky he is 'praying for peace',BBC,
"Sat, 13 May 2023 11:39:14 GMT",Israel and Palestinian militants in Gaza trade fire,POLITICO,
"Sat, 13 May 2023 15:34:24 GMT",JJ Vallow's family send powerful message to convicted 'cult mom' Lori,The Independent,
"Sat, 13 May 2023 17:52:34 GMT",North Carolina Governor Vetoes Abortion Ban but Faces Override,The New York Times,
"Sat, 13 May 2023 15:56:15 GMT","1 dead, at least 10 injured following possible tornado in Rio Grande Valley: NWS",ABC News,
"Sat, 13 May 2023 18:50:00 GMT",Calm prevails at US-Mexico border after Title 42 migration restrictions lifted,The Guardian US,
"Sat, 13 May 2023 15:29:04 GMT",Modi’s ruling BJP voted out in key Indian state of Karnataka,Al Jazeera English,
"Sat, 13 May 2023 12:15:54 GMT",Russia says Ukraine used Storm Shadow missiles from Britain to attack Luhansk,Yahoo News,
"Sat, 13 May 2023 16:46:00 GMT",At Least One Russia Aircraft Crashes Near Ukraine Border,The Moscow Times,
"Sat, 13 May 2023 17:07:48 GMT",Kenya starvation cult death toll climbs to 201,Al Jazeera English,
"Sat, 13 May 2023 11:00:00 GMT","Twitter's New CEO, Linda Yaccarino, Has a Fearsome To-Do List",WIRED,
"Sat, 13 May 2023 13:00:49 GMT",Investors predict 'imminent' US high-yield bond sell off,Financial Times,
"Sat, 13 May 2023 12:56:34 GMT",Stock Traders Are Nonchalant About US Being on Cusp of Default,Bloomberg,
"Sat, 13 May 2023 15:28:00 GMT",U.S. Regulators Urge Supplier to Recall 67 Million Air-Bag Inflators for Potential Explosions,The Wall Street Journal,
"Sat, 13 May 2023 14:05:00 GMT","The New Zelda: Tears Of The Kingdom amiibo Is Now Available, Did You Get It?",Nintendo Life,
"Sat, 13 May 2023 15:30:00 GMT",Pixel 6a vs. Pixel 7a: Big moves in budget circles [Video],9to5Google,
"Sat, 13 May 2023 15:20:41 GMT",Zelda: Tears Of The Kingdom,Guides Hub - GameSpot,
"Sat, 13 May 2023 12:40:23 GMT","Amazon just dropped the mother lode of Mother's Day deals, including a Lenovo laptop for nearly 60% off",Yahoo Life,
"Sat, 13 May 2023 10:29:08 GMT","Jamie Foxx out of hospital for weeks and playing pickleball, daughter claims",FOX 5 Atlanta,
"Sat, 13 May 2023 16:56:00 GMT",Kelly Clarkson Addresses Report Alleging Toxic Work Culture on Her Talk Show: ‘Committed to Maintaining a Safe and Healthy Environment’,Variety,
"Sat, 13 May 2023 18:00:00 GMT",Eurovision 2023 Live Updates: What to Expect at the Grand Final,The New York Times,
"Sat, 13 May 2023 15:32:42 GMT",Kendall Jenner and Bad Bunny Coordinate Their Looks For First Public Date,Harper's BAZAAR,
"Sat, 13 May 2023 16:16:42 GMT","Golden State Falls to Lakers, Ending Title Hopes and Starting Uncertain Future",The New York Times,
"Sat, 13 May 2023 07:56:00 GMT",Knicks' Quentin Grimes couldn't shut down Jimmy Butler in Game 6,New York Post ,
"Sat, 13 May 2023 15:14:00 GMT",LeBron James leads Lakers to Western Conference Finals as defending NBA Champions eliminated,Fox News,
"Sat, 13 May 2023 12:31:49 GMT",Tom E. Curran makes bold Patriots wins prediction after NFL schedule release,NBC Sports Boston,
"Sat, 13 May 2023 15:04:00 GMT",Updated human DNA map captures diversity of life,CNN,
"Sat, 13 May 2023 12:00:00 GMT","Mysterious, ultra low-frequency noises detected in Earth's atmosphere — and scientists can't explain them",Livescience.com,
"Fri, 12 May 2023 16:28:08 GMT","Saturn reclaims 'moon king' title with 62 newfound satellites, bringing total to 145",Space.com,
"Fri, 12 May 2023 22:27:47 GMT",Scientists: 4.5 billion-year-old meteorite hit New Jersey home,CBS New York,
"Sat, 13 May 2023 12:39:57 GMT",Exercise and the Brain: The Neuroscience of Fitness Explored,Neuroscience News,
"Sat, 13 May 2023 14:45:57 GMT",Could Low Vitamin D Influence Long-COVID Risk?,Neuroscience News,
"Sat, 13 May 2023 16:00:00 GMT",He was treated for blood clots but still felt fatigued and breathless,The Washington Post,
"Fri, 12 May 2023 14:35:00 GMT","Sleep Apnea Linked to Brain Damage, Study Finds",Gizmodo,
"Mon, 15 May 2023 14:34:00 GMT",Turkey to have momentous runoff election after Erdogan fails to win outright,CNN,
"Mon, 15 May 2023 16:45:56 GMT",Zelensky meets PM as more Ukraine weapons pledged,BBC,
"Mon, 15 May 2023 14:02:00 GMT",Russian mercenary chief offered to give up Russian troop positions to Ukraine: Report,Fox News,
"Mon, 15 May 2023 13:19:17 GMT","Biden optimistic about a debt limit deal, but McCarthy says White House isn't being serious",CNBC,
"Mon, 15 May 2023 16:14:24 GMT",What Chicago's New Mayor Says About the City's Biggest Challenges,The New York Times,
"Mon, 15 May 2023 11:51:01 GMT",Florida teacher under investigation over Walt Disney movie,WPLG Local 10,
"Mon, 15 May 2023 15:00:00 GMT","Mormon church has $100bn ‘clandestine hedge fund’, says whistleblower",The Guardian,
"Mon, 15 May 2023 07:00:15 GMT",Abortion Showdown in North Carolina May Hinge on a Single Vote,The New York Times,
